# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gb47db5547" 
Date_of_run______________________________________________________________ (date)_________________________ "03/09/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "09:03" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           20 
Number_of_constraints_(total)____________________________________________ (n_equality_constraints+n_inequality_constraints)_           26 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "Plasma major radius (R₀)" 
CS_superconductor_temperature_margin_lower_limit_units___________________ (ineq_units_con060)____________          'K' 
CS_superconductor_temperature_margin_lower_limit_physical_bound__________ (ineq_bound_con060)____________ 1.50000000000000000e+00 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________normalised_residue_ (ineq_con062)__________________ 4.18861796763187133e-01 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_value_ (ineq_value_con062)____________ 7.09430898381593611e+00 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________symbol_____ (ineq_symbol_con062)___________         '>=' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________units______ (ineq_units_con062)____________           '' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_bound_ (ineq_bound_con062)____________ 5.00000000000000000e+00 
VV_stress_during_TF_quench_upper_limit______normalised_residue___________ (ineq_con065)__________________ 6.71900769035987500e-01 
VV_stress_during_TF_quench_upper_limit______physical_value_______________ (ineq_value_con065)____________ 4.69181900278537869e+07 
VV_stress_during_TF_quench_upper_limit______symbol_______________________ (ineq_symbol_con065)___________         '<=' 
VV_stress_during_TF_quench_upper_limit______units________________________ (ineq_units_con065)____________         'Pa' 
VV_stress_during_TF_quench_upper_limit______physical_bound_______________ (ineq_bound_con065)____________ 1.43000000000000000e+08 
CS_Tresca_yield_criterion_upper_limit______normalised_residue____________ (ineq_con072)__________________ 1.67410100339049350e-05 
CS_Tresca_yield_criterion_upper_limit______physical_value________________ (ineq_value_con072)____________ 7.49987444242474556e+08 
CS_Tresca_yield_criterion_upper_limit______symbol________________________ (ineq_symbol_con072)___________         '<=' 
CS_Tresca_yield_criterion_upper_limit______units_________________________ (ineq_units_con072)____________         'Pa' 
CS_Tresca_yield_criterion_upper_limit______physical_bound________________ (ineq_bound_con072)____________ 7.50000000000000000e+08 
nₑ₀_>_nₑ_pedestal_constraint______normalised_residue_____________________ (ineq_con081)__________________ 6.76773808064256688e-01 
nₑ₀_>_nₑ_pedestal_constraint______physical_value_________________________ (ineq_value_con081)____________ 1.06657360050668438e+20 
nₑ₀_>_nₑ_pedestal_constraint______symbol_________________________________ (ineq_symbol_con081)___________         '>=' 
nₑ₀_>_nₑ_pedestal_constraint______units__________________________________ (ineq_units_con081)____________        '/m³' 
nₑ₀_>_nₑ_pedestal_constraint______physical_bound_________________________ (ineq_bound_con081)____________ 6.36086749075586417e+19 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______normalised_residue___________________ (ineq_con068)__________________ 1.28225424698147350e-05 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______physical_value_______________________ (ineq_value_con068)____________ 9.99987177457530230e+00 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______symbol_______________________________ (ineq_symbol_con068)___________         '<=' 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______units________________________________ (ineq_units_con068)____________      'MWT/m' 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______physical_bound_______________________ (ineq_bound_con068)____________ 1.00000000000000000e+01 
TF_coil_case_stress_upper_limit___normalised_residue_____________________ (ineq_con031)__________________ 2.34820099741517296e-05 
TF_coil_case_stress_upper_limit___physical_value_________________________ (ineq_value_con031)____________ 7.49982388492519379e+08 
TF_coil_case_stress_upper_limit___symbol_________________________________ (ineq_symbol_con031)___________         '<=' 
TF_coil_case_stress_upper_limit___units__________________________________ (ineq_units_con031)____________         'Pa' 
TF_coil_case_stress_upper_limit___physical_bound_________________________ (ineq_bound_con031)____________ 7.50000000000000000e+08 
TF_coil_conduit_stress_upper_limit__normalised_residue___________________ (ineq_con032)__________________ 1.34746194469598346e-01 
TF_coil_conduit_stress_upper_limit__physical_value_______________________ (ineq_value_con032)____________ 6.48940354147801280e+08 
TF_coil_conduit_stress_upper_limit__symbol_______________________________ (ineq_symbol_con032)___________         '<=' 
TF_coil_conduit_stress_upper_limit__units________________________________ (ineq_units_con032)____________         'Pa' 
TF_coil_conduit_stress_upper_limit__physical_bound_______________________ (ineq_bound_con032)____________ 7.50000000000000000e+08 
Electron_density_upper_limit_(nₑ<)__normalised_residue___________________ (ineq_con005)__________________ 4.29297592186017596e-06 
Electron_density_upper_limit_(nₑ<)__physical_value_______________________ (ineq_value_con005)____________ 8.98000967111277773e+19 
Electron_density_upper_limit_(nₑ<)__symbol_______________________________ (ineq_symbol_con005)___________         '<=' 
Electron_density_upper_limit_(nₑ<)__units________________________________ (ineq_units_con005)____________        '/m³' 
Electron_density_upper_limit_(nₑ<)__physical_bound_______________________ (ineq_bound_con005)____________ 8.98004822224357294e+19 
Neutron_wall_load_upper_limit_____normalised_residue_____________________ (ineq_con008)__________________ 4.84002833856010617e-01 
Neutron_wall_load_upper_limit_____physical_value_________________________ (ineq_value_con008)____________ 1.03199433228797877e+00 
Neutron_wall_load_upper_limit_____symbol_________________________________ (ineq_symbol_con008)___________         '<=' 
Neutron_wall_load_upper_limit_____units__________________________________ (ineq_units_con008)____________      'MW/m²' 
Neutron_wall_load_upper_limit_____physical_bound_________________________ (ineq_bound_con008)____________ 2.00000000000000000e+00 
Fusion_power_upper_limit__________normalised_residue_____________________ (ineq_con009)__________________ 4.50093051330581861e-01 
Fusion_power_upper_limit__________physical_value_________________________ (ineq_value_con009)____________ 1.64972084600825451e+03 
Fusion_power_upper_limit__________symbol_________________________________ (ineq_symbol_con009)___________         '<=' 
Fusion_power_upper_limit__________units__________________________________ (ineq_units_con009)____________         'MW' 
Fusion_power_upper_limit__________physical_bound_________________________ (ineq_bound_con009)____________ 3.00000000000000000e+03 
Burn_time_lower_limit_____________normalised_residue_____________________ (ineq_con013)__________________ 8.37874679615602247e-06 
Burn_time_lower_limit_____________physical_value_________________________ (ineq_value_con013)____________ 7.20006032697693172e+03 
Burn_time_lower_limit_____________symbol_________________________________ (ineq_symbol_con013)___________         '>=' 
Burn_time_lower_limit_____________units__________________________________ (ineq_units_con013)____________        'sec' 
Burn_time_lower_limit_____________physical_bound_________________________ (ineq_bound_con013)____________ 7.20000000000000000e+03 
Runtime_of_PROCESS_in_seconds____________________________________________ (process_runtime)______________ 1.52840509414672852e+01 
# Final Feasible Point #
# Power Reactor Costs (1990 US$) #
First_wall_/_blanket_life_(years)________________________________________ (life_blkt)____________________ 4.84498784883321054e+00 
Divertor_life_(years)____________________________________________________ (life_div)_____________________ 1.02705254861515138e+00 
Cost_of_electricity_(m$/kWh)_____________________________________________ (coe)__________________________ 5.10317956561195672e+02 
