# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g6361e8862" 
Date_of_run______________________________________________________________ (date)_________________________ "02/09/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "08:15" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________           -5 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           14 
Number_of_constraints_(total)____________________________________________ (n_equality_constraints+n_inequality_constraints)_           18 
Blanket_breeder_material_cost_(M$)_______________________________________ (c22122)_______________________ 2.65504010474563870e+02 
Blanket_stainless_steel_cost_(M$)________________________________________ (c22123)_______________________ 3.34973134815233493e+01 
Blanket_vanadium_cost_(M$)_______________________________________________ (c22124)_______________________ 0.00000000000000000e+00 
Blanket_total_cost_(M$)__________________________________________________ (c2212)________________________ 4.07341710452513439e+02 
Bulk_shield_cost_(M$)____________________________________________________ (c22131)_______________________ 4.07487269264739496e+01 
Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 4.07487269264739496e+01 
Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 8.14974538529478991e+01 
Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 2.11795529412323376e+01 
Divertor_cost_(M$)_______________________________________________________ (c2215)________________________ 4.39383148531068528e+01 
Total_account_221_cost_(M$)______________________________________________ (c221)_________________________ 6.41276942652712023e+02 
# Magnets #
TF_coil_conductor_cost_(M$)______________________________________________ (c22211)_______________________ 5.97317611030156996e+01 
TF_coil_winding_cost_(M$)________________________________________________ (c22212)_______________________ 1.65314498947878938e+01 
TF_coil_case_cost_(M$)___________________________________________________ (c22213)_______________________ 2.28113883993020153e+02 
TF_intercoil_structure_cost_(M$)_________________________________________ (c22214)_______________________ 6.76763311796492246e+01 
TF_coil_gravity_support_structure_(M$)___________________________________ (c22215)_______________________ 1.12354012715676088e+01 
TF_magnet_assemblies_cost_(M$)___________________________________________ (c2221)________________________ 3.83288827442040599e+02 
PF_coil_conductor_cost_(M$)______________________________________________ (c22221)_______________________ 2.40200090060317166e+02 
PF_coil_winding_cost_(M$)________________________________________________ (c22222)_______________________ 3.16315003322073736e+01 
PF_coil_case_cost_(M$)___________________________________________________ (c22223)_______________________ 1.02889728682562904e+02 
PF_coil_support_structure_cost_(M$)______________________________________ (c22224)_______________________ 1.02920965254081267e+01 
PF_magnet_assemblies_cost_(M$)___________________________________________ (c2222)________________________ 3.85013415600495591e+02 
Vacuum_vessel_assembly_cost_(M$)_________________________________________ (c2223)________________________ 1.26453344163811252e+02 
Total_account_222_cost_(M$)______________________________________________ (c222)_________________________ 8.94755587206347514e+02 
# Power Injection #
ECH_system_cost_(M$)_____________________________________________________ (c2231)________________________ 3.58790106907133861e+02 
Lower_hybrid_system_cost_(M$)____________________________________________ (c2232)________________________ 0.00000000000000000e+00 
Neutral_beam_system_cost_(M$)____________________________________________ (c2233)________________________ 0.00000000000000000e+00 
Total_account_223_cost_(M$)______________________________________________ (c223)_________________________ 3.58790106907133861e+02 
# Vacuum Systems #
High_vacuum_pumps_cost_(M$)______________________________________________ (c2241)________________________ 1.87199999999999989e+01 
Backing_pumps_cost_(M$)__________________________________________________ (c2242)________________________ 7.02000000000000046e+00 
Vacuum_duct_cost_(M$)____________________________________________________ (c2243)________________________ 2.89008681655711674e+00 
Valves_cost_(M$)_________________________________________________________ (c2244)________________________ 7.35698312153768885e+00 
Duct_shielding_cost_(M$)_________________________________________________ (c2245)________________________ 0.00000000000000000e+00 
Instrumentation_cost_(M$)________________________________________________ (c2246)________________________ 1.30000000000000004e+00 
Total_account_224_cost_(M$)______________________________________________ (c224)_________________________ 3.72870699380948025e+01 
# Power Conditioning #
TF_coil_power_supplies_cost_(M$)_________________________________________ (c22511)_______________________ 1.58472783219443847e+00 
TF_coil_breakers_cost_(M$)_______________________________________________ (c22512)_______________________ 1.73810781097548563e+01 
TF_coil_dump_resistors_cost_(M$)_________________________________________ (c22513)_______________________ 5.00271581893349282e+00 
TF_coil_instrumentation_and_control_(M$)_________________________________ (c22514)_______________________ 3.60000000000000009e+00 
TF_coil_bussing_cost_(M$)________________________________________________ (c22515)_______________________ 1.59723880589066916e+01 
Total,_TF_coil_power_costs_(M$)__________________________________________ (c2251)________________________ 4.35409098197894764e+01 
PF_coil_power_supplies_cost_(M$)_________________________________________ (c22521)_______________________ 2.14122087956229628e+01 
PF_coil_instrumentation_and_control_(M$)_________________________________ (c22522)_______________________ 3.90000000000000036e+00 
PF_coil_bussing_cost_(M$)________________________________________________ (c22523)_______________________ 1.18271999999999995e+01 
PF_coil_burn_power_supplies_cost_(M$)____________________________________ (c22524)_______________________ 1.42954136419334166e+00 
PF_coil_breakers_cost_(M$)_______________________________________________ (c22525)_______________________ 1.65431068770150596e+01 
