# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gf4541d832" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:38" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
# Numerics #
# PROCESS found a feasible solution #
f_nd_plasma_pedestal_greenwald_(upper_bound)_____________________________ (boundu013)____________________ 1.00000000000000000e+00 
f_nd_plasma_pedestal_greenwald_(lower_bound)_____________________________ (boundl013)____________________ 1.00000000000000006e-01 
f_nd_plasma_separatrix_greenwald_________________________________________ (itvar014)_____________________ 1.00000001637315090e-03 
f_nd_plasma_separatrix_greenwald_(final_value/initial_value)_____________ (xcm014)_______________________ 1.00000001637315095e-02 
f_nd_plasma_separatrix_greenwald_(range_normalised)______________________ (nitvar014)____________________ 1.65385362882239908e-10 
f_nd_plasma_separatrix_greenwald_(upper_bound)___________________________ (boundu014)____________________ 1.00000000000000006e-01 
f_nd_plasma_separatrix_greenwald_(lower_bound)___________________________ (boundl014)____________________ 1.00000000000000002e-03 
⟨β⟩_consistency____________________normalised_residue____________________ (eq_con001)____________________ 2.22044604925031308e-16 
⟨β⟩_consistency____________________residual______________________________ (res_eq_con001)________________ 2.77555756156289135e-17 
⟨β⟩_consistency____________________constraint_value______________________ (val_eq_con001)________________ 1.12830613003095492e-01 
⟨β⟩_consistency____________________units_________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ -1.22124532708767219e-15 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -4.44089209850062616e-16 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 3.80893589545224842e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m³' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ -5.62665469772127835e-11 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ -2.53199239352852601e-10 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 4.49999999974680076e+00 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Fusion_power_upper_limit__________normalised_residue_____________________ (ineq_con009)__________________ 2.06532440097100922e-01 
Fusion_power_upper_limit__________physical_value_________________________ (ineq_value_con009)____________ 1.98366889975724780e+03 
Fusion_power_upper_limit__________symbol_________________________________ (ineq_symbol_con009)___________         '<=' 
Fusion_power_upper_limit__________units__________________________________ (ineq_units_con009)____________         'MW' 
Fusion_power_upper_limit__________physical_bound_________________________ (ineq_bound_con009)____________ 2.50000000000000000e+03 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 2.76331573871273051e-01 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 1.27633157387127312e+02 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 1.00000000000000000e+02 
Electron_density_upper_limit_(nₑ<)__normalised_residue___________________ (ineq_con005)__________________ 2.45581333047084627e-11 
Electron_density_upper_limit_(nₑ<)__physical_value_______________________ (ineq_value_con005)____________ 1.16816427755381260e+20 
Electron_density_upper_limit_(nₑ<)__symbol_______________________________ (ineq_symbol_con005)___________         '<=' 
Electron_density_upper_limit_(nₑ<)__units________________________________ (ineq_units_con005)____________        '/m³' 
Electron_density_upper_limit_(nₑ<)__physical_bound_______________________ (ineq_bound_con005)____________ 1.16816427758250050e+20 
⟨β⟩_upper_limit__________________normalised_residue______________________ (ineq_con024)__________________ 1.90493592606033157e-01 
